"conn","conn_name","mean","std","right_p","right_p_adj","both_p","both_p_adj","left_p","left_p_adj","t"
"x82_185","Thal_L -- PSMG_L","-0.11555238621033916","0.035838135317501726",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.96086550118446
"x8_78","MFG_DPFC_L -- Put_L","-0.09560945373082042","0.029654061597179447",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.95690686183548
"x54_78","IOG_L -- Put_L","-0.05822949268806021","0.018092214111908447",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.77738487473997
"x10_185","IFG_opercularis_L -- PSMG_L","-0.12028610605644821","0.037613143364385614",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.12902884131597
"x8_30","MFG_DPFC_L -- AG_L","-0.006772140637381183","0.0021197885222291055",1.0,"1.0",0.0,"0.0",0.0,"0.0",-101.02606380087947
"x76_187","Caud_L -- PSIG_L","-0.00396319800694273","0.001245495186096368",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.62449586384143
"x40_62","MTG_L_pole -- subcallosal_ACC_L","-0.001767224267310657","0.0005560357510758137",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.50529683049022
"x62_185","subcallosal_ACC_L -- PSMG_L","-0.0003840187579618423","0.00012106742402466974",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.30558997777061
"x8_183","MFG_DPFC_L -- PSTG_L","-0.004389744745882388","0.0013848691097483982",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.23757224440791
"x4_50","SFG_pole_L -- SOG_L","-0.00047022982891848367","0.00014854275581230802",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.1056749622057
"x0_10","SFG_L -- IFG_opercularis_L","-0.20811022322602354","0.06574821350187457",1.0,"1.0",0.0,"0.0",0.0,"0.0",-100.09432571754142
"x22_48","PoCG_L -- FuG_L","-0.016184458855321753","0.005127893753332379",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.80657779198125
"x20_62","RG_L -- subcallosal_ACC_L","-0.02862197491963138","0.009074137107968713",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.74571774848481
"x8_58","MFG_DPFC_L -- LG_L","-0.014942351674938606","0.004739603094111823",1.0,"1.0",0.0,"0.0",0.0,"0.0",-99.69582674705524
"x10_58","IFG_opercularis_L -- LG_L","-0.0036234822231496436","0.0011581451528212433",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.93800322326226
"x40_64","MTG_L_pole -- subgenual_ACC_L","-0.0006204671445305133","0.0001994217882161068",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.38891765883956
"x30_42","AG_L -- ITG_L","-0.0709126818960456","0.02281397813539521",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.29306771999632
"x8_32","MFG_DPFC_L -- PrCu_L","-0.0012034769671825636","0.0003875184997289542",1.0,"1.0",0.0,"0.0",0.0,"0.0",-98.20765538962635
"x12_30","IFG_orbitalis_L -- AG_L","-0.017503953392773167","0.005658111919045661",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.82832430775112
"x6_48","MFG_L -- FuG_L","-0.008716389218869407","0.0028197737696158704",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.75125650565276
"x2_40","SFG_PFC_L -- MTG_L_pole","-0.003608656643948384","0.0011700908915650574",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.52724656383401
"x12_28","IFG_orbitalis_L -- SMG_L","-0.015622545613589224","0.00507044755610797",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.43287242820016
"x60_80","rostral_ACC_L -- GP_L","-0.00388578302689295","0.0012631074280482055",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.28329186689005
"x16_24","LFOG_L -- PrCG_L","-0.000863153897167917","0.00028058725572907735",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.2792680554563
"x4_22","SFG_pole_L -- PoCG_L","-0.0004096767488442531","0.00013324614367967613",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.22695118854658
"x58_70","LG_L -- Ins_L","-0.02120375218068973","0.00689854490379888",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.19752899748106
"x42_183","ITG_L -- PSTG_L","-0.020915707870686955","0.006816205328113263",1.0,"1.0",0.0,"0.0",0.0,"0.0",-97.03533353563061
"x6_34","MFG_L -- STG_L","-0.005631808768226269","0.0018402474987595752",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.7768904242868
"x26_183","SPG_L -- PSTG_L","-0.18029263845360424","0.059101235525553304",1.0,"1.0",0.0,"0.0",0.0,"0.0",-96.46759121104002
"x18_82","MFOG_L -- Thal_L","-0.0015415177408576116","0.0005080182458551819",1.0,"1.0",0.0,"0.0",0.0,"0.0",-95.95535503771772
